,barcodes,leiden_resolution_2_myeloid-dcs,AIFI_L1,AIFI_L2,AIFI_L3
10530,e443872076fe11eb934cc6c1afd85b40,10,Monocyte,CD14 monocyte,Core CD14 monocyte
10531,e446bd7876fe11eb934cc6c1afd85b40,0,DC,pDC,pDC
10532,e448d39276fe11eb934cc6c1afd85b40,1,DC,pDC,pDC
10533,e45b9e9676fe11eb934cc6c1afd85b40,13,DC,cDC2,ISG+ cDC2
10534,e45d413876fe11eb934cc6c1afd85b40,1,DC,pDC,pDC
10535,e467e65676fe11eb934cc6c1afd85b40,1,DC,pDC,pDC
10536,e469768876fe11eb934cc6c1afd85b40,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10537,e46a8d8e76fe11eb934cc6c1afd85b40,13,DC,cDC2,ISG+ cDC2
10538,e46e831c76fe11eb934cc6c1afd85b40,10,DC,cDC2,CD14+ cDC2
10539,e472ed9e76fe11eb934cc6c1afd85b40,13,DC,cDC2,ISG+ cDC2
10540,e48148ee76fe11eb934cc6c1afd85b40,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10541,e496951e76fe11eb934cc6c1afd85b40,13,DC,cDC2,ISG+ cDC2
10542,e4969bc276fe11eb934cc6c1afd85b40,11,DC,cDC2,HLA-DRhi cDC2
10543,e4a3853a76fe11eb934cc6c1afd85b40,8,DC,cDC2,HLA-DRhi cDC2
10544,e4a53bb476fe11eb934cc6c1afd85b40,8,DC,cDC2,HLA-DRhi cDC2
10545,e4b4864676fe11eb934cc6c1afd85b40,19,DC,cDC2,CD14+ cDC2
10546,e4bb185876fe11eb934cc6c1afd85b40,17,DC,cDC1,cDC1
10547,e4c8198676fe11eb934cc6c1afd85b40,6,Monocyte,CD14 monocyte,Core CD14 monocyte
10548,e4e5f73076fe11eb934cc6c1afd85b40,16,DC,cDC2,HLA-DRhi cDC2
10549,e4f8fe3476fe11eb934cc6c1afd85b40,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10550,e4fec58076fe11eb934cc6c1afd85b40,12,Monocyte,CD14 monocyte,Core CD14 monocyte
10551,e50a1cd276fe11eb934cc6c1afd85b40,6,Monocyte,CD14 monocyte,Core CD14 monocyte
10552,e5125b8676fe11eb934cc6c1afd85b40,13,DC,cDC2,ISG+ cDC2
10553,e518f72a76fe11eb934cc6c1afd85b40,13,DC,cDC2,ISG+ cDC2
10554,e51fe87876fe11eb934cc6c1afd85b40,1,DC,pDC,pDC
10555,e522cc8276fe11eb934cc6c1afd85b40,0,DC,pDC,pDC
10556,e5232e4876fe11eb934cc6c1afd85b40,1,DC,pDC,pDC
10557,e527677476fe11eb934cc6c1afd85b40,6,DC,cDC2,CD14+ cDC2
10558,e5276b1676fe11eb934cc6c1afd85b40,13,DC,cDC2,HLA-DRhi cDC2
10559,e52f6aaa76fe11eb934cc6c1afd85b40,0,DC,pDC,pDC
10560,e533f93a76fe11eb934cc6c1afd85b40,9,DC,cDC2,HLA-DRhi cDC2
10561,e53b66ca76fe11eb934cc6c1afd85b40,4,DC,pDC,pDC
10562,4a49fa4e8d0811eba554d6cabaf48ff9,9,DC,cDC2,HLA-DRhi cDC2
10563,4a4b10788d0811eba554d6cabaf48ff9,21,DC,ASDC,ASDC
10564,4a4c3aac8d0811eba554d6cabaf48ff9,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10565,4a4e60fc8d0811eba554d6cabaf48ff9,15,DC,cDC2,CD14+ cDC2
10566,4a5111088d0811eba554d6cabaf48ff9,20,Doublet,Doublet,Doublet
10567,4a51e3268d0811eba554d6cabaf48ff9,0,DC,pDC,pDC
10568,4a536a0c8d0811eba554d6cabaf48ff9,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10569,4a59b0ec8d0811eba554d6cabaf48ff9,23,Doublet,Doublet,Doublet
10570,4a5efb568d0811eba554d6cabaf48ff9,6,DC,cDC2,CD14+ cDC2
10571,4a61a1f88d0811eba554d6cabaf48ff9,8,DC,cDC2,HLA-DRhi cDC2
10572,4a62b9448d0811eba554d6cabaf48ff9,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10573,4a6d04268d0811eba554d6cabaf48ff9,6,Monocyte,CD14 monocyte,Core CD14 monocyte
10574,4a6e58448d0811eba554d6cabaf48ff9,2,DC,cDC2,HLA-DRhi cDC2
10575,4a6ed2388d0811eba554d6cabaf48ff9,6,Monocyte,CD14 monocyte,Core CD14 monocyte
10576,4a7a11848d0811eba554d6cabaf48ff9,9,DC,cDC2,CD14+ cDC2
10577,4a7cc8168d0811eba554d6cabaf48ff9,15,DC,cDC2,CD14+ cDC2
10578,4a7cd7ac8d0811eba554d6cabaf48ff9,10,DC,cDC2,CD14+ cDC2
10579,4a8b07828d0811eba554d6cabaf48ff9,6,Monocyte,CD14 monocyte,Core CD14 monocyte
10580,897f908a8ce911eb8a4342a2565eadeb,20,Doublet,Doublet,Doublet
10581,8985403e8ce911eb8a4342a2565eadeb,6,Monocyte,CD14 monocyte,Core CD14 monocyte
10582,8988ded88ce911eb8a4342a2565eadeb,6,DC,cDC2,CD14+ cDC2
10583,f3da51948cfe11eb877bf62f64715fb6,6,Monocyte,CD14 monocyte,Core CD14 monocyte
10584,f3dc2b368cfe11eb877bf62f64715fb6,14,DC,cDC2,CD14+ cDC2
10585,f3dde1e28cfe11eb877bf62f64715fb6,18,Doublet,Doublet,Doublet
10586,f3de8b748cfe11eb877bf62f64715fb6,18,Doublet,Doublet,Doublet
10587,f3dede088cfe11eb877bf62f64715fb6,6,Monocyte,CD14 monocyte,Core CD14 monocyte
10588,f3df235e8cfe11eb877bf62f64715fb6,13,DC,cDC2,ISG+ cDC2
10589,f3e6c7da8cfe11eb877bf62f64715fb6,1,DC,pDC,pDC
10590,f3e834088cfe11eb877bf62f64715fb6,7,Monocyte,CD14 monocyte,Core CD14 monocyte
10591,f3e9c5de8cfe11eb877bf62f64715fb6,2,DC,cDC2,HLA-DRhi cDC2
10592,f3ecab788cfe11eb877bf62f64715fb6,3,Monocyte,CD14 monocyte,Core CD14 monocyte
10593,f3f331d28cfe11eb877bf62f64715fb6,2,DC,cDC2,HLA-DRhi cDC2
10594,f3fb60788cfe11eb877bf62f64715fb6,21,DC,ASDC,ASDC
10595,f401530c8cfe11eb877bf62f64715fb6,20,Doublet,Doublet,Doublet
10596,f403d53c8cfe11eb877bf62f64715fb6,5,DC,cDC2,CD14+ cDC2
10597,f4141a968cfe11eb877bf62f64715fb6,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10598,f415712a8cfe11eb877bf62f64715fb6,17,DC,cDC1,cDC1
10599,f41afcbc8cfe11eb877bf62f64715fb6,17,DC,cDC1,cDC1
10600,f42d12128cfe11eb877bf62f64715fb6,3,Monocyte,CD14 monocyte,Core CD14 monocyte
10601,f43424088cfe11eb877bf62f64715fb6,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10602,f43691f28cfe11eb877bf62f64715fb6,14,DC,cDC2,CD14+ cDC2
10603,f436cb7c8cfe11eb877bf62f64715fb6,12,Monocyte,CD14 monocyte,Core CD14 monocyte
10604,f43a2e348cfe11eb877bf62f64715fb6,13,Monocyte,CD14 monocyte,Core CD14 monocyte
10605,f43aa27e8cfe11eb877bf62f64715fb6,8,DC,cDC2,HLA-DRhi cDC2
10606,f43ff92c8cfe11eb877bf62f64715fb6,12,DC,cDC2,CD14+ cDC2
10607,5732b0128cee11ebb2129e901b21dc73,10,Monocyte,CD14 monocyte,Core CD14 monocyte
10608,573369e48cee11ebb2129e901b21dc73,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10609,573418f88cee11ebb2129e901b21dc73,12,Monocyte,CD14 monocyte,Core CD14 monocyte
10610,5734b1c88cee11ebb2129e901b21dc73,11,DC,cDC2,HLA-DRhi cDC2
10611,57352f2c8cee11ebb2129e901b21dc73,19,DC,cDC2,CD14+ cDC2
10612,573711ac8cee11ebb2129e901b21dc73,16,DC,cDC2,CD14+ cDC2
10613,5737b33c8cee11ebb2129e901b21dc73,15,DC,cDC2,CD14+ cDC2
10614,5739a6388cee11ebb2129e901b21dc73,8,DC,cDC2,HLA-DRhi cDC2
10615,573db0de8cee11ebb2129e901b21dc73,6,DC,cDC2,CD14+ cDC2
10616,573e77948cee11ebb2129e901b21dc73,12,Monocyte,CD14 monocyte,Core CD14 monocyte
10617,574177968cee11ebb2129e901b21dc73,19,DC,cDC2,CD14+ cDC2
10618,574269da8cee11ebb2129e901b21dc73,6,DC,cDC2,CD14+ cDC2
10619,5742a4368cee11ebb2129e901b21dc73,19,DC,cDC2,CD14+ cDC2
10620,574b9d488cee11ebb2129e901b21dc73,17,DC,cDC1,cDC1
10621,574d8ce88cee11ebb2129e901b21dc73,2,DC,cDC2,CD14+ cDC2
10622,574dc10e8cee11ebb2129e901b21dc73,6,Monocyte,CD14 monocyte,Core CD14 monocyte
10623,57507f168cee11ebb2129e901b21dc73,14,DC,cDC2,CD14+ cDC2
10624,57666af68cee11ebb2129e901b21dc73,6,DC,cDC2,CD14+ cDC2
10625,5769859c8cee11ebb2129e901b21dc73,15,DC,cDC2,CD14+ cDC2
10626,576e35b08cee11ebb2129e901b21dc73,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10627,577005028cee11ebb2129e901b21dc73,19,DC,cDC2,CD14+ cDC2
10628,577593148cee11ebb2129e901b21dc73,2,DC,cDC2,HLA-DRhi cDC2
10629,0d5bf0988d0211eb9a4f269f40e0a6a0,16,DC,cDC2,HLA-DRhi cDC2
10630,0d5e21ba8d0211eb9a4f269f40e0a6a0,9,DC,cDC2,CD14+ cDC2
10631,0d5f09fe8d0211eb9a4f269f40e0a6a0,0,DC,pDC,pDC
10632,0d5f284e8d0211eb9a4f269f40e0a6a0,7,Monocyte,CD14 monocyte,Core CD14 monocyte
10633,0d5f3ed88d0211eb9a4f269f40e0a6a0,3,DC,cDC2,CD14+ cDC2
10634,0d6006f68d0211eb9a4f269f40e0a6a0,23,Doublet,Doublet,Doublet
10635,0d63fc988d0211eb9a4f269f40e0a6a0,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10636,0d67d3fe8d0211eb9a4f269f40e0a6a0,15,DC,cDC2,CD14+ cDC2
10637,0d6867ec8d0211eb9a4f269f40e0a6a0,19,DC,cDC2,CD14+ cDC2
10638,0d6989e28d0211eb9a4f269f40e0a6a0,20,Doublet,Doublet,Doublet
10639,0d6c18568d0211eb9a4f269f40e0a6a0,0,DC,pDC,pDC
10640,0d76e6508d0211eb9a4f269f40e0a6a0,12,DC,cDC2,CD14+ cDC2
10641,0d8260f28d0211eb9a4f269f40e0a6a0,20,Doublet,Doublet,Doublet
10642,0d82a3b48d0211eb9a4f269f40e0a6a0,13,DC,cDC2,CD14+ cDC2
10643,0d83afd48d0211eb9a4f269f40e0a6a0,10,DC,cDC2,CD14+ cDC2
10644,0d84ac2c8d0211eb9a4f269f40e0a6a0,8,DC,cDC2,HLA-DRhi cDC2
10645,0d875ca68d0211eb9a4f269f40e0a6a0,17,DC,cDC1,cDC1
10646,0d87a45e8d0211eb9a4f269f40e0a6a0,16,DC,cDC2,CD14+ cDC2
10647,0d884fd08d0211eb9a4f269f40e0a6a0,19,DC,cDC2,CD14+ cDC2
10648,0d8afaaa8d0211eb9a4f269f40e0a6a0,9,DC,cDC2,HLA-DRhi cDC2
10649,0d8f92228d0211eb9a4f269f40e0a6a0,2,DC,cDC2,HLA-DRhi cDC2
10650,0d95fcf28d0211eb9a4f269f40e0a6a0,20,Doublet,Doublet,Doublet
10651,0d963a6e8d0211eb9a4f269f40e0a6a0,11,DC,cDC2,HLA-DRhi cDC2
10652,0d9c30d68d0211eb9a4f269f40e0a6a0,12,Monocyte,CD14 monocyte,Core CD14 monocyte
10653,c1af2d6c8d0211eb8f491acf3f136954,17,DC,cDC1,cDC1
10654,c1b074c48d0211eb8f491acf3f136954,1,DC,pDC,pDC
10655,c1b206868d0211eb8f491acf3f136954,18,Doublet,Doublet,Doublet
10656,c1bae1988d0211eb8f491acf3f136954,10,DC,cDC2,CD14+ cDC2
10657,c1bed9568d0211eb8f491acf3f136954,18,Doublet,Doublet,Doublet
10658,c1cb53528d0211eb8f491acf3f136954,7,Monocyte,CD14 monocyte,Core CD14 monocyte
10659,c1e1b5de8d0211eb8f491acf3f136954,2,DC,cDC2,HLA-DRhi cDC2
10660,c1e693a68d0211eb8f491acf3f136954,16,DC,cDC2,CD14+ cDC2
10661,c1eb0e408d0211eb8f491acf3f136954,19,DC,cDC2,CD14+ cDC2
10662,c1eb0ea48d0211eb8f491acf3f136954,15,DC,cDC2,CD14+ cDC2
10663,c1f44f1e8d0211eb8f491acf3f136954,12,Monocyte,CD14 monocyte,Core CD14 monocyte
10664,c1f5dac88d0211eb8f491acf3f136954,18,Doublet,Doublet,Doublet
10665,c1fc11f48d0211eb8f491acf3f136954,9,DC,cDC2,HLA-DRhi cDC2
10666,c1fd38ea8d0211eb8f491acf3f136954,20,Doublet,Doublet,Doublet
10667,c1fd52b28d0211eb8f491acf3f136954,17,DC,cDC1,cDC1
10668,c209f3328d0211eb8f491acf3f136954,1,DC,pDC,pDC
10669,ef71c4408d0111eb894022587c8bf21f,12,DC,cDC2,CD14+ cDC2
10670,ef75013c8d0111eb894022587c8bf21f,12,DC,cDC2,CD14+ cDC2
10671,ef75adee8d0111eb894022587c8bf21f,3,Monocyte,CD14 monocyte,Core CD14 monocyte
10672,ef76323c8d0111eb894022587c8bf21f,21,DC,ASDC,ASDC
10673,ef7768fa8d0111eb894022587c8bf21f,8,DC,cDC2,HLA-DRhi cDC2
10674,ef78733a8d0111eb894022587c8bf21f,3,Monocyte,CD14 monocyte,Core CD14 monocyte
10675,ef79db808d0111eb894022587c8bf21f,2,DC,cDC2,HLA-DRhi cDC2
10676,ef7a8e688d0111eb894022587c8bf21f,12,Monocyte,CD14 monocyte,Core CD14 monocyte
10677,ef7c98028d0111eb894022587c8bf21f,12,DC,cDC2,CD14+ cDC2
10678,ef80f5aa8d0111eb894022587c8bf21f,10,Monocyte,CD14 monocyte,Core CD14 monocyte
10679,ef842aea8d0111eb894022587c8bf21f,12,DC,cDC2,CD14+ cDC2
10680,ef8bd15a8d0111eb894022587c8bf21f,12,DC,cDC2,CD14+ cDC2
10681,ef8facc68d0111eb894022587c8bf21f,10,DC,cDC2,CD14+ cDC2
10682,ef9ad70e8d0111eb894022587c8bf21f,11,DC,cDC2,HLA-DRhi cDC2
10683,ef9cb7048d0111eb894022587c8bf21f,1,DC,pDC,pDC
10684,efa1f89a8d0111eb894022587c8bf21f,10,DC,cDC2,CD14+ cDC2
10685,efa1ffa28d0111eb894022587c8bf21f,18,Doublet,Doublet,Doublet
10686,efa57e3e8d0111eb894022587c8bf21f,17,DC,cDC1,cDC1
10687,efa967888d0111eb894022587c8bf21f,9,DC,cDC2,CD14+ cDC2
10688,efab165a8d0111eb894022587c8bf21f,11,DC,cDC2,HLA-DRhi cDC2
10689,efabd5408d0111eb894022587c8bf21f,12,DC,cDC2,CD14+ cDC2
10690,efabed468d0111eb894022587c8bf21f,10,Monocyte,CD14 monocyte,Core CD14 monocyte
10691,efac62b28d0111eb894022587c8bf21f,10,Monocyte,CD14 monocyte,Core CD14 monocyte
10692,efae34e88d0111eb894022587c8bf21f,6,DC,cDC2,CD14+ cDC2
10693,efb09fa88d0111eb894022587c8bf21f,3,Monocyte,CD14 monocyte,Core CD14 monocyte
10694,5648f5c08cfe11eba258b6b4610d6042,12,Monocyte,CD14 monocyte,Core CD14 monocyte
10695,5649132a8cfe11eba258b6b4610d6042,11,DC,cDC2,HLA-DRhi cDC2
10696,564c30468cfe11eba258b6b4610d6042,15,DC,cDC2,CD14+ cDC2
10697,5652b0748cfe11eba258b6b4610d6042,18,Doublet,Doublet,Doublet
10698,5653db848cfe11eba258b6b4610d6042,17,DC,cDC1,cDC1
10699,5654d5ca8cfe11eba258b6b4610d6042,23,Doublet,Doublet,Doublet
10700,565e93448cfe11eba258b6b4610d6042,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10701,565f82908cfe11eba258b6b4610d6042,3,Monocyte,CD14 monocyte,Core CD14 monocyte
10702,566151748cfe11eba258b6b4610d6042,1,DC,pDC,pDC
10703,5662b4f68cfe11eba258b6b4610d6042,2,DC,cDC2,HLA-DRhi cDC2
10704,5662bbea8cfe11eba258b6b4610d6042,1,DC,pDC,pDC
10705,5663fa5a8cfe11eba258b6b4610d6042,9,DC,cDC2,HLA-DRhi cDC2
10706,566434528cfe11eba258b6b4610d6042,18,Doublet,Doublet,Doublet
10707,566889448cfe11eba258b6b4610d6042,9,DC,cDC2,HLA-DRhi cDC2
10708,566a06d48cfe11eba258b6b4610d6042,18,Doublet,Doublet,Doublet
10709,566b75468cfe11eba258b6b4610d6042,6,DC,cDC2,CD14+ cDC2
10710,566d6f2c8cfe11eba258b6b4610d6042,18,Doublet,Doublet,Doublet
10711,566e9be08cfe11eba258b6b4610d6042,6,Monocyte,CD14 monocyte,Core CD14 monocyte
10712,56719a708cfe11eba258b6b4610d6042,23,Doublet,Doublet,Doublet
10713,5672ca628cfe11eba258b6b4610d6042,6,,,
10714,567760f48cfe11eba258b6b4610d6042,9,DC,cDC2,HLA-DRhi cDC2
10715,56787c648cfe11eba258b6b4610d6042,20,Doublet,Doublet,Doublet
10716,5678b81e8cfe11eba258b6b4610d6042,21,DC,pDC,pDC
10717,5679a74c8cfe11eba258b6b4610d6042,11,DC,cDC2,HLA-DRhi cDC2
10718,567ec6dc8cfe11eba258b6b4610d6042,19,DC,cDC2,CD14+ cDC2
10719,567fedfa8cfe11eba258b6b4610d6042,10,DC,cDC2,CD14+ cDC2
10720,568028ce8cfe11eba258b6b4610d6042,10,DC,cDC2,CD14+ cDC2
10721,5683e4a08cfe11eba258b6b4610d6042,9,DC,cDC2,CD14+ cDC2
10722,8336bb608d0011eba962c64f4773d63c,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10723,8337f8048d0011eba962c64f4773d63c,2,DC,cDC2,HLA-DRhi cDC2
10724,8338cfae8d0011eba962c64f4773d63c,10,DC,cDC2,CD14+ cDC2
10725,8346ab748d0011eba962c64f4773d63c,2,DC,cDC2,HLA-DRhi cDC2
10726,834b9a948d0011eba962c64f4773d63c,2,DC,cDC2,HLA-DRhi cDC2
10727,834c24148d0011eba962c64f4773d63c,3,Monocyte,CD14 monocyte,Core CD14 monocyte
10728,834d72928d0011eba962c64f4773d63c,10,DC,cDC2,CD14+ cDC2
10729,834fffbc8d0011eba962c64f4773d63c,0,DC,pDC,pDC
10730,835226c08d0011eba962c64f4773d63c,3,Monocyte,CD14 monocyte,Core CD14 monocyte
10731,8354d83e8d0011eba962c64f4773d63c,9,DC,cDC2,HLA-DRhi cDC2
10732,8355cd988d0011eba962c64f4773d63c,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10733,8356b7948d0011eba962c64f4773d63c,12,Monocyte,CD14 monocyte,Core CD14 monocyte
10734,835e6ce68d0011eba962c64f4773d63c,1,DC,pDC,pDC
10735,83629cbc8d0011eba962c64f4773d63c,20,Doublet,Doublet,Doublet
10736,83688bfe8d0011eba962c64f4773d63c,21,DC,ASDC,ASDC
10737,836d47ac8d0011eba962c64f4773d63c,16,DC,cDC2,CD14+ cDC2
10738,837216d88d0011eba962c64f4773d63c,3,Monocyte,CD14 monocyte,Core CD14 monocyte
10739,8372efd68d0011eba962c64f4773d63c,10,DC,cDC2,CD14+ cDC2
10740,a2baffd68cfc11ebb4592ee9d1c560f8,17,DC,cDC1,cDC1
10741,a2bb69128cfc11ebb4592ee9d1c560f8,6,Monocyte,CD14 monocyte,Core CD14 monocyte
10742,a2c5248e8cfc11ebb4592ee9d1c560f8,3,Monocyte,CD14 monocyte,Core CD14 monocyte
10743,a2d4c5248cfc11ebb4592ee9d1c560f8,0,DC,pDC,pDC
10744,a2dc87468cfc11ebb4592ee9d1c560f8,6,Monocyte,CD14 monocyte,Core CD14 monocyte
10745,a2ddd4ca8cfc11ebb4592ee9d1c560f8,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10746,a2df459e8cfc11ebb4592ee9d1c560f8,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10747,a2e1b41e8cfc11ebb4592ee9d1c560f8,6,DC,cDC2,CD14+ cDC2
10748,a2e691c88cfc11ebb4592ee9d1c560f8,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10749,a2ed33528cfc11ebb4592ee9d1c560f8,8,DC,cDC2,HLA-DRhi cDC2
10750,a2f463348cfc11ebb4592ee9d1c560f8,9,DC,cDC2,HLA-DRhi cDC2
10751,a2f740908cfc11ebb4592ee9d1c560f8,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10752,a2fa13248cfc11ebb4592ee9d1c560f8,23,Doublet,Doublet,Doublet
10753,a2ff57da8cfc11ebb4592ee9d1c560f8,13,DC,cDC2,ISG+ cDC2
10754,a92365988d0111eba8fc0e09ff586e2a,15,DC,cDC2,CD14+ cDC2
10755,a923afee8d0111eba8fc0e09ff586e2a,18,Doublet,Doublet,Doublet
10756,a9247d528d0111eba8fc0e09ff586e2a,17,DC,cDC1,cDC1
10757,a9250a608d0111eba8fc0e09ff586e2a,17,DC,cDC1,cDC1
10758,a92aa5428d0111eba8fc0e09ff586e2a,5,Monocyte,CD14 monocyte,ISG+ CD14 monocyte
10759,a92dc4a28d0111eba8fc0e09ff586e2a,0,DC,pDC,pDC
10760,a92ef3688d0111eba8fc0e09ff586e2a,23,Doublet,Doublet,Doublet
10761,a933f8908d0111eba8fc0e09ff586e2a,8,DC,cDC2,HLA-DRhi cDC2
10762,a938ef808d0111eba8fc0e09ff586e2a,12,Monocyte,CD14 monocyte,Core CD14 monocyte
10763,a93936f28d0111eba8fc0e09ff586e2a,17,DC,cDC1,cDC1
10764,a939e6248d0111eba8fc0e09ff586e2a,2,DC,cDC2,HLA-DRhi cDC2
10765,a93a48a88d0111eba8fc0e09ff586e2a,18,Doublet,Doublet,Doublet
10766,a93adc6e8d0111eba8fc0e09ff586e2a,7,Monocyte,CD14 monocyte,Core CD14 monocyte
10767,a93b08f68d0111eba8fc0e09ff586e2a,8,DC,cDC2,HLA-DRhi cDC2
10768,a93bc57a8d0111eba8fc0e09ff586e2a,0,DC,pDC,pDC
10769,a93d168c8d0111eba8fc0e09ff586e2a,9,DC,cDC2,HLA-DRhi cDC2
10770,a93ec3568d0111eba8fc0e09ff586e2a,8,DC,cDC2,HLA-DRhi cDC2
10771,a93f1d748d0111eba8fc0e09ff586e2a,0,DC,pDC,pDC
10772,a9444b788d0111eba8fc0e09ff586e2a,15,DC,cDC2,CD14+ cDC2
10773,a94a20528d0111eba8fc0e09ff586e2a,8,DC,cDC2,HLA-DRhi cDC2
10774,a94b2a388d0111eba8fc0e09ff586e2a,15,DC,cDC2,CD14+ cDC2
10775,a954018a8d0111eba8fc0e09ff586e2a,3,Monocyte,CD14 monocyte,Core CD14 monocyte
10776,a95406b28d0111eba8fc0e09ff586e2a,3,Monocyte,CD14 monocyte,Core CD14 monocyte
10777,a95690308d0111eba8fc0e09ff586e2a,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10778,a956f84a8d0111eba8fc0e09ff586e2a,18,Doublet,Doublet,Doublet
10779,3b0744a03f6611eb8896ca35f85b07f8,2,DC,cDC2,HLA-DRhi cDC2
10780,3b0adbce3f6611eb8896ca35f85b07f8,2,DC,cDC2,HLA-DRhi cDC2
10781,3b0ae5f63f6611eb8896ca35f85b07f8,2,DC,cDC2,HLA-DRhi cDC2
10782,3b0d00023f6611eb8896ca35f85b07f8,11,DC,cDC2,HLA-DRhi cDC2
10783,3b0d91b63f6611eb8896ca35f85b07f8,2,DC,cDC2,HLA-DRhi cDC2
10784,3b0f032a3f6611eb8896ca35f85b07f8,2,DC,cDC2,HLA-DRhi cDC2
10785,3b1335da3f6611eb8896ca35f85b07f8,14,DC,cDC2,CD14+ cDC2
10786,3b1623303f6611eb8896ca35f85b07f8,14,DC,cDC2,CD14+ cDC2
10787,3b16c7ea3f6611eb8896ca35f85b07f8,4,DC,pDC,pDC
10788,3b1a2e1c3f6611eb8896ca35f85b07f8,3,Monocyte,CD14 monocyte,Core CD14 monocyte
10789,3b1c0eee3f6611eb8896ca35f85b07f8,6,Monocyte,CD14 monocyte,Core CD14 monocyte
10790,3b1ca39a3f6611eb8896ca35f85b07f8,6,DC,cDC2,CD14+ cDC2
10791,3b1ea6543f6611eb8896ca35f85b07f8,0,DC,pDC,pDC
10792,3b1efe7e3f6611eb8896ca35f85b07f8,17,DC,cDC1,cDC1
10793,3b24b77e3f6611eb8896ca35f85b07f8,0,DC,pDC,pDC
10794,3b2cbed83f6611eb8896ca35f85b07f8,0,DC,pDC,pDC
10795,3b2cdbac3f6611eb8896ca35f85b07f8,15,DC,cDC2,CD14+ cDC2
10796,3b2e0ec83f6611eb8896ca35f85b07f8,11,DC,cDC2,HLA-DRhi cDC2
10797,3b3106003f6611eb8896ca35f85b07f8,3,Monocyte,CD14 monocyte,Core CD14 monocyte
10798,81c7504e3f6411eb9e62823c612eac47,4,DC,pDC,pDC
10799,81c7c4fc3f6411eb9e62823c612eac47,10,DC,cDC2,CD14+ cDC2
10800,81d55c8e3f6411eb9e62823c612eac47,13,DC,cDC2,ISG+ cDC2
10801,81d6a4a43f6411eb9e62823c612eac47,9,DC,cDC2,HLA-DRhi cDC2
10802,81d898223f6411eb9e62823c612eac47,4,DC,pDC,pDC
10803,81d904243f6411eb9e62823c612eac47,18,Doublet,Doublet,Doublet
10804,81dcb9843f6411eb9e62823c612eac47,6,DC,cDC2,CD14+ cDC2
10805,81e074de3f6411eb9e62823c612eac47,14,DC,cDC2,HLA-DRhi cDC2
10806,81e106243f6411eb9e62823c612eac47,0,DC,pDC,pDC
10807,81e43a4c3f6411eb9e62823c612eac47,4,DC,pDC,pDC
10808,81e49a503f6411eb9e62823c612eac47,10,DC,cDC2,CD14+ cDC2
10809,81e6e04e3f6411eb9e62823c612eac47,7,Monocyte,CD14 monocyte,Core CD14 monocyte
10810,81e6e7ec3f6411eb9e62823c612eac47,19,DC,cDC2,CD14+ cDC2
10811,81e809063f6411eb9e62823c612eac47,2,DC,cDC2,HLA-DRhi cDC2
10812,81e88cbe3f6411eb9e62823c612eac47,17,DC,cDC1,cDC1
10813,81f4b9d03f6411eb9e62823c612eac47,18,Doublet,Doublet,Doublet
10814,81f8117a3f6411eb9e62823c612eac47,5,Monocyte,CD14 monocyte,Core CD14 monocyte
10815,82034b6c3f6411eb9e62823c612eac47,6,Monocyte,CD14 monocyte,Core CD14 monocyte
10816,e86590503f6311eb9b035a7c26289213,11,DC,cDC2,HLA-DRhi cDC2
10817,e86686223f6311eb9b035a7c26289213,17,DC,cDC1,cDC1
10818,e868e8043f6311eb9b035a7c26289213,10,DC,cDC2,CD14+ cDC2
10819,e86abb843f6311eb9b035a7c26289213,14,DC,cDC2,CD14+ cDC2
10820,e86db7303f6311eb9b035a7c26289213,0,DC,pDC,pDC
10821,e86eed123f6311eb9b035a7c26289213,0,DC,pDC,pDC
10822,e87162cc3f6311eb9b035a7c26289213,4,DC,pDC,pDC
10823,e878b52c3f6311eb9b035a7c26289213,4,DC,pDC,pDC
10824,e87ac9343f6311eb9b035a7c26289213,6,Monocyte,CD14 monocyte,Core CD14 monocyte
10825,e87c1fd23f6311eb9b035a7c26289213,15,DC,cDC2,CD14+ cDC2
10826,e87c57e03f6311eb9b035a7c26289213,11,DC,cDC2,HLA-DRhi cDC2
10827,e87d55823f6311eb9b035a7c26289213,12,Monocyte,CD14 monocyte,Core CD14 monocyte
10828,e87ffd1e3f6311eb9b035a7c26289213,8,DC,cDC2,HLA-DRhi cDC2
10829,e880a1ec3f6311eb9b035a7c26289213,7,Monocyte,CD14 monocyte,Core CD14 monocyte
